"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"2345","4303","3490 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62177079","44.65747985","(44.65747985, -63.62177079)"
"2346","4303","3491 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62142534","44.65747359","(44.65747359, -63.62142534)"
"2347","4303","3492 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6217905","44.65759431","(44.65759431, -63.6217905)"
"2348","4303","3493 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62141312","44.65753382","(44.65753382, -63.62141312)"
"2349","4303","3494 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62178907","44.65768883","(44.65768883, -63.62178907)"
"2350","4303","3495 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62141576","44.65777322","(44.65777322, -63.62141576)"
"2351","4303","3497 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62141507","44.65782269","(44.65782269, -63.62141507)"
"2352","4303","3499 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62141397","44.65789559","(44.65789559, -63.62141397)"
"2353","4303","6640 Chisholm Ave","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61959387","44.65793198","(44.65793198, -63.61959387)"
"2354","4303","6641 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61977227","44.65822676","(44.65822676, -63.61977227)"
"2355","4303","6644 Chisholm Ave","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61966977","44.6579164","(44.6579164, -63.61966977)"
"2356","4303","6645 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61982426","44.65820649","(44.65820649, -63.61982426)"
"2357","4303","6648 Chisholm Ave","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61974317","44.65789537","(44.65789537, -63.61974317)"
"2358","4303","6649 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61990015","44.65819084","(44.65819084, -63.61990015)"
"2359","4303","6652 Chisholm Ave","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61982046","44.65787257","(44.65787257, -63.61982046)"
"2360","4303","6655 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62015268","44.65816582","(44.65816582, -63.62015268)"
"2361","4303","6656 Chisholm Ave","Halifax","1","111039","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.61988502","44.65785594","(44.65785594, -63.61988502)"
"2362","4303","6659 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62024681","44.6581953","(44.6581953, -63.62024681)"
"2363","4303","3432 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62087606","44.65685742","(44.65685742, -63.62087606)"
"2364","4303","6663 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62031166","44.65815984","(44.65815984, -63.62031166)"
"2365","4303","6666 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62038344","44.65783458","(44.65783458, -63.62038344)"
"2366","4303","6667 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62037409","44.65820263","(44.65820263, -63.62037409)"
"2367","4303","6670 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62046348","44.65779468","(44.65779468, -63.62046348)"
"2368","4303","6671 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62046531","44.65817272","(44.65817272, -63.62046531)"
"2369","4303","6674 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62053737","44.65782764","(44.65782764, -63.62053737)"
"2370","4303","6675 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62052664","44.65820378","(44.65820378, -63.62052664)"
"2371","4303","6677 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62058889","44.65817548","(44.65817548, -63.62058889)"
"2372","4303","6678 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62068711","44.65784775","(44.65784775, -63.62068711)"
"2373","4303","6681 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62066401","44.65820937","(44.65820937, -63.62066401)"
"2374","4303","6682 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62078334","44.65782235","(44.65782235, -63.62078334)"
"2375","4303","6686 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62086869","44.65784554","(44.65784554, -63.62086869)"
"2376","4303","6690 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6209479","44.65786505","(44.65786505, -63.6209479)"
"2377","4303","6694 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.621039","44.65783962","(44.65783962, -63.621039)"
"2378","4303","6698 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62111825","44.65785552","(44.65785552, -63.62111825)"
"2379","4303","6702 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62119248","44.65786692","(44.65786692, -63.62119248)"
"2380","4303","6709 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62141643","44.65814854","(44.65814854, -63.62141643)"
"2381","4303","6711 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62146874","44.65818941","(44.65818941, -63.62146874)"
"2382","4303","6713 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62155647","44.65814511","(44.65814511, -63.62155647)"
"2383","4303","6715 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6216367","44.65817722","(44.65817722, -63.6216367)"
"2384","4303","6717 Chisholm Ave","Halifax","1","111047","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62171069","44.6582039","(44.6582039, -63.62171069)"
"2385","4303","6720 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62175686","44.65789826","(44.65789826, -63.62175686)"
"2386","4303","6724 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62182872","44.65790153","(44.65790153, -63.62182872)"
"2387","4303","6728 Chisholm Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62192833","44.65790226","(44.65790226, -63.62192833)"
